Species,Diet,extant_fossil,Mean M-D Length,Mean Crest Length,,Log10_length_frugs,Log10_sum_frugs,Log10_ets_frugs,Log10_sq_frugs,,Log10_length_all,Log10_sum_all,Log10_ets_all,Log10_sq_all
Alouatta_palliata,Leaves,extant,7.622,16.951,,0.882068944,1.229195324,1.114012738,10.33943172,,0.882068944,1.229195324,1.189802154,3.310900881
Alouatta_seniculus,Leaves,extant,7.252,16.214,,0.860457795,1.209890169,1.09719514,10.27119282,,0.860457795,1.209890169,1.166771405,3.695562238
Aotus_vociferans,Frugivore,extant,3.288,6.731,,0.516931809,0.828079591,0.829866378,-0.215310245,,0.516931809,0.828079591,0.800679781,3.422068424
Ateles_geoffroyi,Frugivore,extant,5.045,10.92,,0.702861171,1.038222638,0.974554897,6.533007219,,0.702861171,1.038222638,0.998822526,3.944655966
Brachyteles_arachnoides,Leaves,extant,6.92,15.51,,0.840106094,1.190611798,1.081357634,10.10342561,,0.840106094,1.190611798,1.145082836,3.976040927
Cacajao_calvus,Hard_Object,extant,4.156,7.524,,0.618675539,0.876448787,0.909042413,-3.585490096,,0.618675539,0.876448787,0.909106883,-3.592327482
Callicebus_cupreus,Frugivore,extant,3.484,6.634,,0.542078146,0.821775467,0.849435026,-3.25623012,,0.542078146,0.821775467,0.827477938,-0.689138742
Callicebus_moloch,Frugivore,extant,3.57,6.647,,0.552668216,0.822625679,0.857676121,-4.086675796,,0.552668216,0.822625679,0.838763652,-1.924019107
Cebus_capucinus,Frugivore,extant,4.41,7.363,,0.644438589,0.8670548,0.929090981,-6.677083542,,0.644438589,0.8670548,0.936562265,-7.421552949
Chiropotes_satanas,Hard_Object,extant,3.379,5.801,,0.528788192,0.763502865,0.839092906,-9.008542437,,0.528788192,0.763502865,0.813314989,-6.124579572
Lagothrix_lagotricha,Frugivore,extant,5.435,10.86,,0.735199548,1.035829825,0.999720325,3.611960227,,0.735199548,1.035829825,1.033285157,0.246269708
Pithecia_irrorata,Hard_Object,extant,3.784,6.247,,0.577951128,0.795671506,0.87735105,-9.309790472,,0.577951128,0.795671506,0.865707355,-8.090014306
Saimiri_boliviensis,Frugivore,extant,2.747,6.161,,0.438858659,0.789651209,0.769110571,2.670700196,,0.438858659,0.789651209,0.717478139,10.05927097
Diablomomys_dalquesti,Diablomomys,fossil,2.816,5.5467,,0.449601805,0.744032067,0.777470788,-4.300961693,,0.449601805,0.744032067,0.728926983,2.072235598
Mescalerolemur_horneri,Mescalerolemur,fossil,3.174,5.967,,0.501595024,0.775731776,0.817931433,-5.159314719,,0.501595024,0.775731776,0.784335549,-1.096950442
Omomys_carteri,Omomys,fossil,2.667,4.833,,0.425968732,0.684246748,0.759079749,-9.858384599,,0.425968732,0.684246748,0.703741494,-2.770157337
